Domain, Va, Vb, Vc, Ia, Ib, Ic,Target
0.00025,0.0671365579589,-0.127004409777,0.0598678518179,0.00017176019491,-0.000324887971741,0.000153127776831,AG
0.0005,0.287553452227,-0.492505624275,0.204952172049,0.000733874850922,-0.00125664041495,0.000522765564023,AG
0.00075,0.684952112332,-1.06866699608,0.38371488375,0.00174504008828,-0.00272153530092,0.000976495212639,AG
0.001,1.27651861042,-1.82326010426,0.546741493843,0.00324723567621,-0.00463526196905,0.00138802629283,AG
0.00125,2.07287477371,-2.72029925999,0.647424486279,0.00526562573294,-0.00690442573002,0.00163879999706,AG
0.0015,3.07809196715,-3.72067950465,0.642587537499,0.00780865996569,-0.00942816291145,0.00161950294574,AG
0.00175,4.28978561366,-4.78285051431,0.493064900653,0.0108683767133,-0.0120998481553,0.00123147144191,AG
0.002,5.69928979616,-5.86351891373,0.164229117568,0.0144209059968,-0.014808873313,0.000387967316104,AG
0.00225,7.39436311221,-7.11289333192,-0.281469780282,0.0184196641255,-0.0174279049392,-0.000991759186287,AG
0.0025,9.49970755657,-8.67959458851,-0.820112968054,0.0227680386116,-0.0197691831275,-0.00299885548412,AG
0.00275,12.005553959,-10.4329207315,-1.57263322748,0.0273408952834,-0.0216425128617,-0.0056983824217,AG
0.003,14.8788148047,-12.2348618269,-2.6439529778,0.0319998223017,-0.0228822652338,-0.00911755706794,AG
0.00325,18.0688841945,-13.9513183137,-4.11756588084,0.0365978962149,-0.0233493973153,-0.0132484988997,AG
0.0035,21.5100845552,-15.4549257005,-6.05515885465,0.0409839919534,-0.0229324675018,-0.0180515244517,AG
0.00375,25.1240167579,-16.6271961753,-8.49682058268,0.045006813626,-0.0215481680803,-0.0234586455458,AG
0.004,28.8219170314,-17.3603301445,-11.461586887,0.0485186429269,-0.0191414484978,-0.0293771944293,AG
0.00425,32.5827488949,-17.7029731502,-14.8797757447,0.0513733969105,-0.0156747705014,-0.0356986264092,AG
0.0045,36.4131044058,-17.7174944037,-18.6956100022,0.0534078850787,-0.0110918549854,-0.0423160300935,AG
0.00475,40.1844941725,-17.209274024,-22.9752201485,0.0544645160922,-0.00536776407138,-0.049096752021,AG
0.005,43.7476016601,-16.0014367705,-27.7461648897,0.0544091235542,0.00146745930379,-0.0558765828582,AG
0.00525,46.9467908011,-13.9551446783,-32.9916461228,0.053135730287,0.00933411750958,-0.0624698477968,AG
0.0055,49.6263618023,-10.9707997497,-38.6555620526,0.0505695310705,0.0181097448797,-0.0686792759503,AG
0.00575,51.6357679112,-6.98742664042,-44.6483412708,0.0466686985876,0.0276361914323,-0.07430489002,AG
0.006,52.8341312135,-1.98125017232,-50.8528810412,0.0414251692983,0.0377266620453,-0.0791518313437,AG
0.00625,53.1499724148,3.92961322134,-57.0795856361,0.0348606617058,0.048180122926,-0.0830407846318,AG
0.0065,52.5554117407,10.5915327033,-63.146944444,0.0270087723386,0.0588158517489,-0.0858246240876,AG
0.00675,50.9153795245,18.0744435368,-68.9898230613,0.0179317362918,0.0694347034069,-0.0873664396987,AG
0.007,48.1007343797,26.405581633,-74.5063160126,0.0077333680492,0.0798019692659,-0.0875353373151,AG
0.00725,44.0083589969,35.5462004885,-79.5545594854,-0.0034428564194,0.0896610266358,-0.0862181702163,AG
0.0075,38.5669195282,45.3988154877,-83.965735016,-0.0154181032539,0.098747556321,-0.0833294530671,AG
0.00775,31.7401302701,55.8166874091,-87.5568176792,-0.0279836138974,0.10680208625,-0.0788184723524,AG
0.008,23.5283769314,66.6135645532,-90.1419414847,-0.0409068511383,0.113580640132,-0.0726737889938,AG
0.00825,14.0100863827,77.4945070606,-91.5045934434,-0.0539408167628,0.11886889565,-0.0649280788867,AG
0.0085,3.32193019879,88.1383612853,-91.4602914841,-0.0668439701183,0.122511036591,-0.0556670664723,AG
0.00875,-8.48241790765,98.44223666,-89.9598187524,-0.0793705406452,0.124376116262,-0.0450055756167,AG
0.009,-21.3272425972,108.270849835,-86.9436072379,-0.0912628683313,0.124341128335,-0.033078260003,AG
0.00925,-35.0948051605,117.43287959,-82.3380744295,-0.102258804885,0.122305151029,-0.0200463461443,AG
0.0095,-49.6256992403,125.698483402,-76.072784162,-0.112100786151,0.11820239653,-0.00610161037782,AG
0.00975,-64.7225740752,132.817872129,-68.0952980538,-0.120544696735,0.112011265588,0.00853343114869,AG
0.01,-80.1555805055,138.537907449,-58.3823269431,-0.127367998102,0.103759588406,0.0236084096967,AG
0.01025,-95.63874731,142.558335159,-46.919587849,-0.132378787779,0.0935304039448,0.0388483838354,AG
0.0105,-110.848599583,144.593784169,-33.7451845861,-0.135431928563,0.0814782858345,0.0539536427293,AG
0.01075,-125.556062552,144.596178895,-19.0401163426,-0.136419409516,0.0677932515532,0.0686261579639,AG
0.011,-139.531770646,142.518675745,-2.98690509861,-0.135260841717,0.0526779273149,0.082582914403,AG
0.01125,-152.527031847,138.287561047,14.2394707994,-0.131908529867,0.0363561590804,0.0955523707875,AG
0.0115,-164.280104059,131.824936132,32.4551679267,-0.126353262609,0.0190797888763,0.107273473734,AG
